timestep,episode,mean_reward
590000,EVAL,111.5484
590400,8105,85.7557
591000,8113,94.0159
591600,8120,73.8208
592200,8125,88.2212
592800,8131,91.1617
593400,8140,82.2018
594000,8146,79.1759
594600,8153,94.3181
595200,8160,81.5853
595800,8166,90.8634
596400,8173,99.2562
597000,8180,69.9824
597600,8186,107.6755
598200,8194,99.7491
598800,8201,100.3599
599400,8208,87.4070
600000,8215,73.0775
600000,EVAL,122.9241
600600,8223,81.2892
601200,8229,116.8781
601800,8236,97.9628
602400,8242,109.1725
603000,8248,100.3555
603600,8254,74.6940
604200,8261,85.7663
604800,8267,108.9827
605400,8273,100.5000
606000,8280,80.5462
606600,8287,102.1605
607200,8293,107.7932
607800,8300,87.2819
608400,8308,90.2886
609000,8314,123.7904
609600,8321,64.5155
610000,EVAL,113.6873
610200,8327,100.5648
610800,8334,94.6326
611400,8340,89.5262
612000,8346,107.7590
612600,8352,126.9732
613200,8359,85.7759
613800,8366,64.1130
614400,8373,108.9312
615000,8379,100.6766
615600,8385,95.7099
616200,8392,110.9929
616800,8398,100.3415
617400,8405,78.2193
618000,8412,100.3159
618600,8419,85.7035
619200,8426,95.3094
619800,8434,62.2882
620000,EVAL,115.9577
620400,8440,107.5195
621000,8449,60.3185
621600,8457,65.3611
622200,8465,94.0382
622800,8471,99.8712
623400,8478,102.9049
624000,8487,67.7612
624600,8495,70.8106
625200,8501,99.2624
625800,8509,90.8090
626400,8515,83.6700
627000,8522,84.7373
627600,8529,87.8339
628200,8537,83.8989
628800,8543,117.1592
629400,8549,115.7992
630000,8556,86.8824
630000,EVAL,112.1288
